lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Umweltaktivist,,umweltaktiv,ADJ.,170,8,1,,,,Aktivist
Multiaktivist,,Multiaktiv,NN,1,0,1,,,,Aktivist
Alchimist,,Alchim,NN,285,0,1,,,,Alchemist
Interbrigadist,,Interbrigad,NN,9,0,1,,,,Brigadist
Daguerreotypist,,Daguerreotyp,NN,1,0,1,1.0,,,
Proevolutionist,,Proevolution,NN,0,0,1,,,,Evolutionist
Antifaschist,,Antifasch,NN,811,0,1,,,,Faschist
Neofaschist,,Neofasch,NN,123,0,1,,,,Faschist
Nichtfaschist,,Nichtfasch,NN,1,0,1,,,,Faschist
Antifeminist,,Antifemin,NN,20,0,1,,,,Feminist
Antiimperialist,,antiimperial,ADJ.,40,1,1,,,,Imperialist
Multiinstrumentalist,,Multiinstrumental,NN,125,0,1,,,,Instrumentalist
Antijudaist,,Antijuda,NN,3,0,1,,,,Judaist
Nichtjurist,,Nichtjur,NN,87,0,1,,,,Jurist
Antikapitalist,,Antikapital,NN,29,0,1,,,,Kapitalist
Nichtkarnevalist,,Nichtkarneval,NN,0,0,1,,,,Karnevalist
Antikommunist,,Antikommun,NN,96,0,1,,,,Kommunist
Nichtkommunist,,Nichtkommun,NN,12,0,1,,,,Kommunist
Antileninist,,Antilenin,NN,0,0,1,,,,Leninist
Drittligist,,Drittlig,NN,311,0,1,,,,Ligist
Erstligist,,Erstlig,NN,661,0,1,,,,Ligist
Viertligist,,Viertlig,NN,58,0,1,,,,Ligist
Oberligist,,Oberlig,NN,165,0,1,,,,Ligist
Sechstligist,,Sechstlig,NN,13,0,1,,,,Ligist
Zweitligist,,Zweitlig,NN,984,0,1,,,,Ligist
Nichtlinguist,,Nichtlingu,NN,6,0,1,,,,Linguist
Obermaschinist,,Obermaschin,NN,5,0,1,,,,Maschinist
Baumaschinist,,Baumaschin,NN,10,0,1,,,,Maschinist
Antimilitarist,,Antimilitar,NN,39,0,1,,,,Militarist
Antimonarchist,,Antimonarch,NN,0,0,1,,,,Monarchist
Obermoralist,,Obermoral,NN,2,0,1,,,,Moralist
Ultranationalist,,Ultranational,NN,23,0,1,,,,Nationalist
Supernationalist,,Supernational,NN,0,0,1,,,,Nationalist
Supranaturalist,,Supranatural,NN,0,0,1,,,,Naturalist
Nichtpianist,,Nichtpian,NN,0,0,1,,,,Pianist
Bereitschaftspolizist,,Bereitschaftspoliz,NN,41,0,1,,,,Polizist
Superpolizist,,Superpoliz,NN,3,0,1,,,,Polizist
Mitprotagonist,,mitprotagon,ADJ.,0,0,1,,,,Protagonist
Antirevisionist,,Antirevision,NN,5,0,1,,,,Revisionist
Nationalsozialist,,nationalsozial,ADJ.,2578,6,1,,,,Sozialist
Spezalist,,Spezal,NN,7,0,1,,,,Spezialist
Kneipenterrorist,,Kneipenterror,NN,22,0,1,,,,Terrorist
Antitheist,,Antithe,NN,1,0,1,,Theismus,NN,
Antizionist,,antizion,ADJ.,56,0,1,,,,Zionist
Nichtzionist,,Nichtzion,NN,0,0,1,,,,Zionist
Akademist,,Akadem,NN,3,0,1,,Akademie,NN,
Aktivist,,Aktiv,NN,3130,1712,1,,Aktivismus,NN,
Alchemist,,Alchem,NN,412,0,1,,Alchemie,NN,
Altruist,,Altru,NN,34,0,1,,Altruismus,NN,
Amerikanist,,Amerikan,NN,18,0,1,,Amerikanismus,NN,
Anabaptist,,Anabapt,NN,4,0,1,,Anabaptismus,NN,
Anästhesist,,Anästhes,NN,509,0,1,,Anästhesie,NN,
Anglist,,Angl,NN,55,0,1,,Anglismus,NN,
Antagonist,,Antagon,NN,437,0,1,,Antagonismus,NN,
Aorist,,Aor,NN,29,0,1,,Aorismus,NN,
Artillerist,,Artiller,NN,82,0,1,,Artillerie,NN,
Atheist,,Athe,NN,2680,0,1,,Atheismus,NN,
Autist,,Aut,NN,351,0,1,,Autismus,NN,
Avantgardist,,Avantgard,NN,106,0,1,,Avantgarde,NN,
Ballist,,Ball,NN,14,41080,1,,Ballismus,NN,
Baptist,,Bapt,NN,810,0,1,,Baptismus,NN,
Batist,,Bat,NN,20,0,1,,Batismus,NN,
Bellizist,,Belliz,NN,23,0,1,,Bellizismus,NN,
Bigamist,,Bigam,NN,26,0,1,,Bigamie,NN,
Biist,,Bi,NN,1,0,1,,Biismus,NN,
Biologist,,Biolog,NN,3,24,1,,Biologie,NN,
Bolschewist,,Bolschew,NN,99,0,1,,Bolschewismus,NN,
Bratschist,,Bratsch,NN,58,0,1,,Bratsche,NN,
Brigadist,,Brigad,NN,22,0,1,,Brigade,NN,
Buddhist,,Buddh,NN,961,0,1,,Buddhismus,NN,
Calvinist,,Calvin,NN,102,0,1,,Calvinismus,NN,
Cellist,,Cell,NN,307,0,1,,Cello,NN,
Chartist,,Chart,NN,48,5434,1,,Chartismus,NN,
Chauvinist,,Chauvin,NN,56,0,1,,Chauvinismus,NN,
Chemist,,Chem,NN,17,0,1,,Chemie,NN,
Dadaist,,Dada,NN,85,0,1,,Dadaismus,NN,
Darwinist,,Darwin,NN,47,0,1,,Darwinismus,NN,
Defaitist,,Defait,NN,2,0,1,,Defaitismus,NN,
Determinist,,Determin,NN,30,7,1,,Determinismus,NN,
Drogist,,Drog,NN,99,0,1,,Droge,NN,
Eklektizist,,Eklektiz,NN,0,0,1,,Eklektizismus,NN,
Elektrologist,,Elektrolog,NN,1,0,1,,Elektrologismus,NN,
Empirist,,Empir,NN,25,0,1,,Empirie,NN,
Experimentalist,,Experimental,NN,9,0,1,,Experiment,NN,
Faschist,,Fasch,NN,1501,0,1,,Faschismus,NN,
Faunist,,Faun,NN,1,359,1,,Faunismus,NN,
Fauvist,,Fauv,NN,5,0,1,,Fauvismus,NN,
Feminist,,Femin,NN,182,13,1,,Feminismus,NN,
Filialist,,Filial,NN,125,0,1,,Filiale,NN,
Flötist,,Flöt,NN,169,0,1,,Flöte,NN,
Folklorist,,Folklor,NN,3,0,1,,Folklore,NN,
Galerist,,Galer,NN,382,0,1,,Galerie,NN,
Gambist,,Gamb,NN,13,0,1,,Gambismus,NN,
Gardist,,Gard,NN,459,0,1,,Garde,NN,
Generalist,,General,NN,221,11574,1,,Generalismus,NN,
Girondist,,Girond,NN,23,0,1,,Girondismus,NN,
Grossist,,Gross,NN,88,0,1,,Grossismus,NN,
Harmonist,,Harmon,NN,14,0,1,,Harmonie,NN,
Havarist,,Havar,NN,50,0,1,,Havarismus,NN,
Hedonist,,Hedon,NN,69,0,1,,Hedonismus,NN,
Immoralist,,Immoral,NN,13,6,1,,Immoralismus,NN,
Infanterist,,Infanter,NN,274,0,1,,Infanterie,NN,
Infantrist,,Infantr,NN,16,0,1,,Infanterie,NN,
Instrumentalist,,Instrumental,NN,525,0,1,,Instrument,NN,
Ionalist,,Ional,NN,0,0,1,,Ionalismus,NN,
Jansenist,,Jansen,NN,12,0,1,,Jansenismus,NN,
Judaist,,Juda,NN,18,0,1,,Judaismus,NN,
Jurist,,Jur,NN,6039,0,1,,Jura,NN,
Kabbalist,,Kabbal,NN,106,0,1,,Kabbalismus,NN,
Kalvinist,,Kalvin,NN,18,0,1,,Kalvinismus,NN,
Karrierist,,Karrier,NN,141,0,1,,Karriere,NN,
Kavallerist,,Kavaller,NN,71,0,1,,Kavallerie,NN,
Kemalist,,Kemal,NN,44,0,1,,Kemalismus,NN,
Klarinettist,,Klarinett,NN,180,0,1,,Klarinette,NN,
Klassist,,Klass,NN,1,0,1,,Klasse,NN,
Klimatist,,Klimat,NN,13,0,1,,Klima,NN,
Kolonialist,,Kolonial,NN,106,0,1,,Kolonialismus,NN,
Kolonist,,Kolon,NN,693,105,1,,Kolonie,NN,
Kolumnist,,Kolumn,NN,506,0,1,,Kolumne,NN,
Kommanditist,,Kommandit,NN,274,0,1,,Kommanditismus,NN,
Kommunist,,Kommun,NN,4293,0,1,,Kommune,NN,
Konfessionalist,,Konfessional,NN,1,0,1,,Konfession,NN,
Kopist,,Kop,NN,100,0,1,,Kopismus,NN,
Kulturalist,,Kultural,NN,3,0,1,,Kultur,NN,
Laizist,,Laiz,NN,44,0,1,,Laizismus,NN,
Leninist,,Lenin,NN,14,0,1,,Leninismus,NN,
Librettist,,Librett,NN,121,0,1,,Libretto,NN,
Ligist,,Lig,NN,120,0,1,,Liga,NN,
Linguist,,Lingu,NN,363,0,1,,Linguismus,NN,
Machiavellist,,Machiavell,NN,9,0,1,,Machiavellismus,NN,
Maoist,,Mao,NN,229,0,1,,Maoismus,NN,
Marxist,,Marx,NN,562,0,1,,Marxismus,NN,
Maschinist,,Maschin,NN,305,8,1,,Maschine,NN,
Masochist,,Masoch,NN,193,0,1,,Masochismus,NN,
Militarist,,Militar,NN,96,0,1,,Militär,NN,
Monarchist,,Monarch,NN,91,958,1,,Monarchie,NN,
Monotheist,,Monothe,NN,28,0,1,,Monotheismus,NN,
Morphist,,Morph,NN,0,0,1,,Morphismus,NN,
Nazist,,Naz,NN,1,0,1,,Nazismus,NN,
Nihilist,,Nihil,NN,118,0,1,,Nihilismus,NN,
Nudist,,Nud,NN,45,0,1,,Nudismus,NN,
Oboist,,Obo,NN,47,0,1,,Oboe,NN,
Obrist,,Obr,NN,156,0,1,,Obrismus,NN,
Oligopolist,,Oligopol,NN,12,129,1,,Oligopolismus,NN,
Optimist,,Optim,NN,1340,0,1,,Optimismus,NN,
Pantheist,,Panthe,NN,53,0,1,,Pantheismus,NN,
Papist,,Pap,NN,43,0,1,,Papst,NN,
Parodist,,Parod,NN,50,0,1,,Parodie,NN,
Pazifist,,Pazif,NN,567,0,1,,Pazifismus,NN,
Peronist,,Peron,NN,15,0,1,,Peronismus,NN,
Pessimist,,Pessim,NN,894,0,1,,Pessimismus,NN,
Philatelist,,Philatel,NN,145,0,1,,Philatelismus,NN,
Physiognomist,,Physiognom,NN,4,9,1,,Physiognomie,NN,
Pietist,,Piet,NN,93,0,1,,Pietismus,NN,
Polytheist,,Polythe,NN,47,0,1,,Polytheismus,NN,
Populist,,Popul,NN,286,0,1,,Populismus,NN,
Posaunist,,Posaun,NN,213,0,1,,Posaune,NN,
Prokurist,,Prokur,NN,491,0,1,,Prokurismus,NN,
Protagonist,,Protagon,NN,6661,0,1,,Protagonismus,NN,
Rassist,,Rass,NN,949,0,1,,Rasse,NN,
Regenerist,,Regener,NN,11,178,1,,Regenerismus,NN,
Reteleist,,Retele,NN,1,0,1,,Reteleismus,NN,
Rigorist,,Rigor,NN,2,0,1,,Rigorismus,NN,
Rotarmist,,Rotarm,NN,95,0,1,,Rotarmismus,NN,
Sadist,,Sad,NN,256,0,1,,Sadismus,NN,
Sadomasochist,,Sadomasoch,NN,40,0,1,,Sadomasochismus,NN,
Solipsist,,Solips,NN,54,0,1,,Solipsismus,NN,
Solist,,Sol,NN,2560,2199,1,,Solo,NN,
Sophist,,Soph,NN,172,0,1,,Sophismus,NN,
Spartakist,,Spartak,NN,32,0,1,,Spartakismus,NN,
Spiritualist,,Spiritual,NN,48,373,1,,Spiritualismus,NN,
Stalinist,,Stalin,NN,115,0,1,,Stalinismus,NN,
Strukturalist,,Struktural,NN,20,0,1,,Struktur,NN,
Syndikalist,,Syndikal,NN,40,0,1,,Syndikalismus,NN,
Synergist,,Synerg,NN,14,0,1,,Synergie,NN,
Theist,,The,NN,93,0,1,,Theismus,NN,
Thomist,,Thom,NN,20,0,1,,Thomismus,NN,
Trappist,,Trapp,NN,36,624,1,,Trappismus,NN,
Trotzkist,,Trotzk,NN,118,0,1,,Trotzkismus,NN,
Utopist,,Utop,NN,136,0,1,,Utopie,NN,
Violinist,,Violin,NN,136,0,1,,Violine,NN,
Voluntarist,,Voluntar,NN,2,0,1,,Voluntarismus,NN,
Zapatist,,Zapat,NN,92,0,1,,Zapatismus,NN,
Zentrist,,Zentr,NN,19,0,1,,Zentrismus,NN,
Nonkonformist,,nonkonform,ADJ.,74,37,1,1.0,,,
Komponist,,komponieren,VVINF,8937,607,1,1.0,,,
Journalist,,Journal,NN,19426,4048,1,1.0,,,
Spezialist,,Spezial,NN,11947,2488,1,1.0,,,
Polizist,,Polizei,NN,13738,49067,1,1.0,,,
Florist,,florieren,VVINF,326,55,1,1.0,,,
Zionist,,zionistisch,ADJ.,601,899,1,1.0,,,
Tourist,,Tour,NN,12195,38405,1,1.0,,,
Unionist,,Union,NN,63,19750,1,1.0,,,
Methodist,,methodisch,ADJ.,113,5086,1,1.0,,,
Pianist,,Piano,NN,2785,1972,1,1.0,,,
Terrorist,,Terror,NN,5510,6195,1,1.0,,,
Zivilist,,zivil,ADJ.,2967,7121,1,1.0,,,
Sozialist,,sozial,ADJ.,1766,102902,1,1.0,,,
Egoist,,Ego,NN,637,3892,1,1.0,,,
Opportunist,,opportun,ADJ.,283,281,1,1.0,,,
Pensionist,,Pension,NN,146,8664,1,1.0,,,
Chronist,,chronisch,ADJ.,988,12406,1,1.0,,,
Finalist,,final,ADJ.,1081,9473,1,1.0,,,
Moralist,,Moral,NN,246,8323,1,1.0,,,
Kapitalist,,Kapital,NN,1577,14254,1,1.0,,,
Hornist,,Horn,NN,99,4237,1,1.0,,,
Okkultist,,okkult,ADJ.,122,700,1,1.0,,,
Evolutionist,,Evolution,NN,66,7052,1,1.0,,,
Islamist,,Islam,NN,1716,12935,1,1.0,,,
Monopolist,,Monopol,NN,355,2155,1,1.0,,,
Publizist,,publizieren,VVINF,1409,1100,1,1.0,,,
Idealist,,Ideal,NN,643,6464,1,1.0,,,
Gitarrist,,Gitarre,NN,4536,12702,1,1.0,,,
Futurist,,Futur,NN,81,204,1,1.0,,,
Extremist,,extrem,ADJ.,1106,54876,1,1.0,,,
Fundamentalist,,fundamental,ADJ.,953,3824,1,1.0,,,
Prosaist,,Prosa,NN,15,1793,1,1.0,,,
Fetischist,,Fetisch,NN,130,812,1,1.0,,,
Romanist,,Roman,NN,92,36677,1,1.0,,,
Karnevalist,,Karneval,NN,367,4277,1,1.0,,,
Expressionist,,Expression,NN,168,1107,1,1.0,,,
Internist,,intern,ADJ.,925,23797,1,1.0,,,
Professionist,,Profession,NN,23,1117,1,1.0,,,
Humanist,,human,ADJ.,757,3726,1,1.0,,,
Anarchist,,Anarchie,NN,997,1233,1,1.0,,,
Organist,,organisch,ADJ.,1284,7791,1,1.0,,,
Statist,,statisch,ADJ.,715,5816,1,1.0,,,
Telefonist,,Telefon,NN,81,47323,1,1.0,,,
Individualist,,individual,ADJ.,733,618,1,1.0,,,
Illusionist,,Illusion,NN,133,6448,1,1.0,,,
Nationalist,,national,ADJ.,1001,40036,1,1.0,,,
Karikaturist,,Karikatur,NN,279,1887,1,1.0,,,
Saxophonist,,Saxophon,NN,448,1311,1,1.0,,,
Reservist,,reservieren,VVINF,723,1723,1,1.0,,,
Morphinist,,Morphin,NN,15,293,1,1.0,,,
Percussionist,,Percussion,NN,157,795,1,1.0,,,
Saxofonist,,Saxofon,NN,134,209,1,1.0,,,
Kriminalist,,Kriminal,NN,194,108,1,1.0,,,
Germanist,,germanisch,ADJ.,640,2680,1,1.0,,,
Lagerist,,Lager,NN,91,22538,1,1.0,,,
Essayist,,Essay,NN,222,3485,1,1.0,,,
Bassist,,Bass,NN,2186,8878,1,1.0,,,
Adventist,,Advent,NN,385,4811,1,1.0,,,
Realist,,real,ADJ.,818,25786,1,1.0,,,
Kontorist,,Kontor,NN,6,478,1,1.0,,,
Radikalist,,radikal,ADJ.,4,10687,1,1.0,,,
Purist,,pur,ADJ.,370,16130,1,1.0,,,
Evangelist,,evangelisch,ADJ.,1187,23002,1,1.0,,,
Lokalist,,lokal,ADJ.,105,30111,1,1.0,,,
Stylist,,stylisch,ADJ.,193,1627,1,1.0,,,
Perfektionist,,Perfektion,NN,408,2766,1,1.0,,,
Lobbyist,,Lobby,NN,1720,3448,1,1.0,,,
Dualist,,dual,ADJ.,31,3849,1,1.0,,,
Materialist,,Material,NN,264,57892,1,1.0,,,
Cartoonist,,Cartoon,NN,141,1359,1,1.0,,,
Perkussionist,,Perkussion,NN,94,214,1,1.0,,,
Exhibitionist,,Exhibition,NN,111,291,1,1.0,,,
Universalist,,universal,ADJ.,41,1817,1,1.0,,,
Kabarettist,,Kabarett,NN,1237,1831,1,1.0,,,
Aquarellist,,Aquarell,NN,16,1689,1,1.0,,,
Traktorist,,Traktor,NN,34,2669,1,1.0,,,
Propagandist,,Propaganda,NN,247,4238,1,1.0,,,
Kreationist,,Kreation,NN,279,2254,1,1.0,,,
Positivist,,positiv,ADJ.,48,84318,1,1.0,,,
Humorist,,Humor,NN,182,12609,1,1.0,,,
Traditionalist,,traditional,ADJ.,337,299,1,1.0,,,
Ozeanist,,Ozean,NN,0,5309,1,1.0,,,
Alpinist,,alpin,ADJ.,239,2691,1,1.0,,,
Impressionist,,Impression,NN,191,2492,1,1.0,,,
Rationalist,,rational,ADJ.,90,5072,1,1.0,,,
Psalmist,,Psalm,NN,137,2414,1,1.0,,,
Fagottist,,Fagott,NN,21,274,1,1.0,,,
Kanonist,,Kanon,NN,25,1409,1,1.0,,,
Naturalist,,natural,ADJ.,93,1500,1,1.0,,,
Mobilist,,mobil,ADJ.,15,33968,1,1.0,,,
Separatist,,separat,ADJ.,431,11522,1,1.0,,,
Imperialist,,imperial,ADJ.,308,2278,1,1.0,,,
Putschist,,Putsch,NN,259,1012,1,1.0,,,
Modernist,,modern,ADJ.,117,82878,1,1.0,,,
Kontrabassist,,Kontrabass,NN,134,981,1,1.0,,,
Professionalist,,professional,ADJ.,1,252,1,1.0,,,
Konstruktivist,,konstruktiv,ADJ.,97,10181,1,1.0,,,
Internationalist,,international,ADJ.,76,115986,1,1.0,,,
Kollektivist,,kollektiv,ADJ.,10,6303,1,1.0,,,
Fatalist,,fatal,ADJ.,22,5158,1,1.0,,,
Akkordeonist,,Akkordeon,NN,117,1471,1,1.0,,,
Surrealist,,surreal,ADJ.,192,927,1,1.0,,,
Satanist,,Satan,NN,488,3445,1,1.0,,,
Manufakturist,,Manufaktur,NN,1,1179,1,1.0,,,
Slawist,,slawisch,ADJ.,23,1153,1,1.0,,,
Relativist,,relativ,ADJ.,29,62334,1,1.0,,,
Konformist,,konform,ADJ.,36,1569,1,1.0,,,
Arkanist,,arkan,ADJ.,1,201,1,1.0,,,
Revisionist,,Revision,NN,211,8642,1,1.0,,,
Existentialist,,existential,ADJ.,31,18,1,1.0,,,
Ionist,,ionisch,ADJ.,0,527,1,1.0,,,
Spiritist,,Spirit,NN,47,2725,1,1.0,,,
Feuilletonist,,Feuilleton,NN,97,1027,1,1.0,,,
Taoist,,Tao,NN,50,772,1,1.0,,,
Polygamist,,polygam,ADJ.,8,64,1,1.0,,,
Loyalist,,loyal,ADJ.,35,1309,1,1.0,,,
Automobilist,,Automobil,NN,118,3390,1,1.0,,,
Seminarist,,Seminar,NN,217,32383,1,1.0,,,
Sexist,,Sex,NN,73,19530,1,1.0,,,
Royalist,,royal,ADJ.,55,5433,1,1.0,,,
Orientalist,,orientalisch,ADJ.,136,3059,1,1.0,,,
Stilist,,Stil,NN,77,28496,1,1.0,,,
Konzeptualist,,konzeptual,ADJ.,4,1,1,1.0,,,
Legitimist,,legitim,ADJ.,7,4762,1,1.0,,,
Liberalist,,liberal,ADJ.,9,6890,1,1.0,,,
Personalist,,personal,ADJ.,15,2263,1,1.0,,,
Reformist,,Reform,NN,65,13974,1,1.0,,,
Arabist,,arabisch,ADJ.,32,12578,1,1.0,,,
Exorzist,,exorzieren,VVINF,262,19,1,1.0,,,
Sezessionist,,Sezession,NN,55,299,1,1.0,,,
Elementarist,,elementar,ADJ.,18,5179,1,1.0,,,
Pluralist,,plural,ADJ.,12,401,1,1.0,,,
Siegerist,,Sieger,NN,10,14858,1,1.0,,,
Sopranist,,Sopran,NN,9,1021,1,1.0,,,
Ideologist,,ideologisch,ADJ.,0,5398,1,1.0,,,
Altist,,Alt,NN,7,7834,1,1.0,,,
Protektionist,,Protektion,NN,11,180,1,1.0,,,
Hobbyist,,Hobby,NN,142,15713,1,1.0,,,
Tenorist,,Tenor,NN,18,3350,1,1.0,,,
Zentralist,,zentral,ADJ.,19,52527,1,1.0,,,
Negativist,,negativ,ADJ.,5,42049,1,1.0,,,
Dekonstruktivist,,dekonstruktiv,ADJ.,9,50,1,1.0,,,
Symbolist,,Symbol,NN,35,18546,1,1.0,,,
Alkoholist,,Alkohol,NN,0,18782,1,1.0,,,
Atomist,,Atom,NN,13,5282,1,1.0,,,
Hinduist,,Hindu,NN,33,955,1,1.0,,,
Situationist,,Situation,NN,40,91820,1,1.0,,,
Legalist,,legal,ADJ.,6,10275,1,1.0,,,
Etatist,,Etat,NN,24,2024,1,1.0,,,
Desillusionist,,Desillusion,NN,1,25,1,1.0,,,
Technologist,,technologisch,ADJ.,1,5405,1,1.0,,,
Alarmist,,Alarm,NN,43,4343,1,1.0,,,
Amoralist,,amoralisch,ADJ.,1,115,1,1.0,,,
Pantomimist,,pantomimisch,ADJ.,0,160,1,1.0,,,
Chorist,,Chor,NN,79,13560,1,1.0,,,
Aktionist,,Aktion,NN,38,73475,1,1.0,,,
Porträtist,,Porträt,NN,43,4234,1,1.0,,,
Expansionist,,Expansion,NN,0,2707,1,1.0,,,
Exterminist,,exterminieren,VVINF,0,0,1,1.0,,,
Stabilist,,stabil,ADJ.,0,25064,1,1.0,,,
Isolationist,,Isolation,NN,17,2555,1,1.0,,,
Objektivist,,objektiv,ADJ.,11,13160,1,1.0,,,
Revanchist,,revanchieren,VVINF,20,373,1,1.0,,,
Prozessualist,,prozessual,ADJ.,2,637,1,1.0,,,
Schamanist,,schamanisch,ADJ.,1,470,1,1.0,,,
Phytologist,,phytologisch,ADJ.,2,1,1,1.0,,,
Existenzialist,,existenzial,ADJ.,26,18,1,1.0,,,
Regionalist,,regional,ADJ.,13,32728,1,1.0,,,
Afrikanist,,afrikanisch,ADJ.,8,7970,1,1.0,,,
Metrist,,metrisch,ADJ.,0,726,1,1.0,,,
Progressist,,Progress,NN,11,623,1,1.0,,,
Pragmatist,,pragmatisch,ADJ.,26,3078,1,1.0,,,
Merkantilist,,merkantil,ADJ.,6,140,1,1.0,,,
Abolitionist,,Abolition,NN,18,16,1,1.0,,,
Funktionalist,,funktional,ADJ.,13,4540,1,1.0,,,
Kantonist,,Kanton,NN,30,11587,1,1.0,,,
Umweltaktivist,,umweltaktivisch,ADJ.,170,0,1,,,,
Umweltaktivist,,umweltaktivistisch,ADJ.,170,1,1,,,,
Umweltaktivist,,umweltaktivieren,VVINF,170,0,1,,,,
Umweltaktivist,,Umweltaktiv,NN,170,0,1,,,,
Interbrigadist,,interbrigad,ADJ.,9,0,1,,,,
Interbrigadist,,interbrigadisch,ADJ.,9,0,1,,,,
Interbrigadist,,interbrigadistisch,ADJ.,9,0,1,,,,
Interbrigadist,,interbrigadieren,VVINF,9,0,1,,,,
Proevolutionist,,proevolution,ADJ.,0,0,1,,,,
Proevolutionist,,proevolutionisch,ADJ.,0,0,1,,,,
Proevolutionist,,proevolutionistisch,ADJ.,0,0,1,,,,
Proevolutionist,,proevolutionieren,VVINF,0,0,1,,,,
Antifaschist,,antifasch,ADJ.,811,0,1,,,,
Antifaschist,,antifaschisch,ADJ.,811,1,1,,,,
Antifaschist,,antifaschistisch,ADJ.,811,2434,1,,,,
Antifaschist,,antifaschieren,VVINF,811,0,1,,,,
Neofaschist,,neofasch,ADJ.,123,0,1,,,,
Neofaschist,,neofaschisch,ADJ.,123,0,1,,,,
Neofaschist,,neofaschistisch,ADJ.,123,283,1,,,,
Neofaschist,,neofaschieren,VVINF,123,0,1,,,,
Nichtfaschist,,nichtfasch,ADJ.,1,0,1,,,,
Nichtfaschist,,nichtfaschisch,ADJ.,1,0,1,,,,
Nichtfaschist,,nichtfaschistisch,ADJ.,1,2,1,,,,
Nichtfaschist,,nichtfaschieren,VVINF,1,0,1,,,,
Multiinstrumentalist,,multiinstrumental,ADJ.,125,9,1,,,,
Multiinstrumentalist,,multiinstrumentalisch,ADJ.,125,0,1,,,,
Multiinstrumentalist,,multiinstrumentalistisch,ADJ.,125,0,1,,,,
Multiinstrumentalist,,multiinstrumentalieren,VVINF,125,0,1,,,,
Antijudaist,,antijuda,ADJ.,3,0,1,,,,
Antijudaist,,antijudaisch,ADJ.,3,3,1,,,,
Antijudaist,,antijudaistisch,ADJ.,3,47,1,,,,
Antijudaist,,antijudaieren,VVINF,3,0,1,,,,
Nichtjurist,,nichtjur,ADJ.,87,0,1,,,,
Nichtjurist,,nichtjurisch,ADJ.,87,0,1,,,,
Nichtjurist,,nichtjuristisch,ADJ.,87,8,1,,,,
Nichtjurist,,nichtjurieren,VVINF,87,0,1,,,,
Nichtkarnevalist,,nichtkarneval,ADJ.,0,0,1,,,,
Nichtkarnevalist,,nichtkarnevalisch,ADJ.,0,0,1,,,,
Nichtkarnevalist,,nichtkarnevalistisch,ADJ.,0,1,1,,,,
Nichtkarnevalist,,nichtkarnevalieren,VVINF,0,0,1,,,,
Antikommunist,,antikommun,ADJ.,96,0,1,,,,
Antikommunist,,antikommunisch,ADJ.,96,0,1,,,,
Antikommunist,,antikommunistisch,ADJ.,96,373,1,,,,
Antikommunist,,antikommunieren,VVINF,96,0,1,,,,
Nichtkommunist,,nichtkommun,ADJ.,12,0,1,,,,
Nichtkommunist,,nichtkommunisch,ADJ.,12,0,1,,,,
Nichtkommunist,,nichtkommunistisch,ADJ.,12,38,1,,,,
Nichtkommunist,,nichtkommunieren,VVINF,12,0,1,,,,
Nonkonformist,,nonkonformisch,ADJ.,74,0,1,,,,
Nonkonformist,,nonkonformistisch,ADJ.,74,43,1,,,,
Nonkonformist,,nonkonformieren,VVINF,74,0,1,,,,
Nonkonformist,,Nonkonform,NN,74,0,1,,,,
Drittligist,,drittlig,ADJ.,311,0,1,,,,
Drittligist,,drittligisch,ADJ.,311,0,1,,,,
Drittligist,,drittligistisch,ADJ.,311,0,1,,,,
Drittligist,,drittligieren,VVINF,311,0,1,,,,
Erstligist,,erstlig,ADJ.,661,0,1,,,,
Erstligist,,erstligisch,ADJ.,661,0,1,,,,
Erstligist,,erstligistisch,ADJ.,661,0,1,,,,
Erstligist,,erstligieren,VVINF,661,0,1,,,,
Viertligist,,viertlig,ADJ.,58,0,1,,,,
Viertligist,,viertligisch,ADJ.,58,0,1,,,,
Viertligist,,viertligistisch,ADJ.,58,0,1,,,,
Viertligist,,viertligieren,VVINF,58,0,1,,,,
Oberligist,,oberlig,ADJ.,165,0,1,,,,
Oberligist,,oberligisch,ADJ.,165,0,1,,,,
Oberligist,,oberligistisch,ADJ.,165,0,1,,,,
Oberligist,,oberligieren,VVINF,165,0,1,,,,
Sechstligist,,sechstlig,ADJ.,13,0,1,,,,
Sechstligist,,sechstligisch,ADJ.,13,0,1,,,,
Sechstligist,,sechstligistisch,ADJ.,13,0,1,,,,
Sechstligist,,sechstligieren,VVINF,13,0,1,,,,
Nichtlinguist,,nichtlingu,ADJ.,6,0,1,,,,
Nichtlinguist,,nichtlinguisch,ADJ.,6,0,1,,,,
Nichtlinguist,,nichtlinguistisch,ADJ.,6,3,1,,,,
Nichtlinguist,,nichtlinguieren,VVINF,6,0,1,,,,
Obermaschinist,,obermaschin,ADJ.,5,0,1,,,,
Obermaschinist,,obermaschinisch,ADJ.,5,0,1,,,,
Obermaschinist,,obermaschinistisch,ADJ.,5,0,1,,,,
Obermaschinist,,obermaschinieren,VVINF,5,0,1,,,,
Baumaschinist,,baumaschin,ADJ.,10,0,1,,,,
Baumaschinist,,baumaschinisch,ADJ.,10,0,1,,,,
Baumaschinist,,baumaschinistisch,ADJ.,10,0,1,,,,
Baumaschinist,,baumaschinieren,VVINF,10,0,1,,,,
Antimilitarist,,antimilitar,ADJ.,39,0,1,,,,
